cell_line	sample_id	cell_tech_id	cell_line_display	degree	betweenness	component	community_louv	community_leid	mean_edge_sim	max_edge_sim	is_outlier
IMR_32	NG-A0611_IMR32_libLAB6079	IMR_32	IMR_32	4	4	1	1	1	0.7358630952380952	0.8732142857142857	FALSE
GI_ME_N	NG-A0611_GIMEN_libLAB6073	GI_ME_N	GI_ME_N	1	0	3	3	10	0.6911124922311995	0.6911124922311995	FALSE
CHP_126	NG-A0611_CHP126_libLAB6088	CHP_126	CHP_126	1	0	1	1	11	0.6619047619047619	0.6619047619047619	FALSE
LAN2	NG-A0611_LAN2_libLAB6083	LAN2	LAN2	1	0	2	2	12	0.6619047619047619	0.6619047619047619	FALSE
LAN5	NG-A0611_LAN5_libLAB6087	LAN5	LAN5	1	0	4	4	13	0.6619047619047619	0.6619047619047619	FALSE
MHH_NB_11	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11	MHH_NB_11	1	0	4	4	14	0.6619047619047619	0.6619047619047619	FALSE
NMB	NG-A0611_NMB_libLAB6080	NMB	NMB	1	0	1	1	15	0.6619047619047619	0.6619047619047619	FALSE
NGP	NG-A0611_NGP_libLAB6082	NGP	NGP	4	4	1	1	2	0.7041666666666666	0.7464285714285714	FALSE
CHP_134	NG-A0611_CHP134_libLAB6074	CHP_134	CHP_134	3	0	1	1	3	0.8027777777777778	0.8732142857142857	FALSE
LAN1	NG-A0611_LAN1_libLAB6085	LAN1	LAN1	3	0	1	1	4	0.760515873015873	0.7886904761904762	FALSE
NBL_S	NG-A0611_NBLS_libLAB6077	NBL_S	NBL_S	3	1	2	2	5	0.7520734522278938	0.8185156100742339	FALSE
SIMA	NG-A0611_SIMA_libLAB6086	SIMA	SIMA	3	1	2	2	6	0.7139678329327026	0.8185156100742339	FALSE
KELLY	NG-A0611_KELLY_libLAB6075	KELLY	KELLY	3	3	2	2	7	0.6713927525917042	0.6903687339655886	FALSE
LAN6	NG-A0611_LAN6_libLAB6089	LAN6	LAN6	2	0	2	2	8	0.7044095697314854	0.7757999847046855	FALSE
CCLF_PEDS_0051_T	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	1	0	3	3	9	0.6911124922311995	0.6911124922311995	FALSE
LS	NG-A0611_LS_libLAB6078	LS	LS	0	0	5	5	16	NA	NA	TRUE
SH_SY5Y	NG-A0611_SHSY5Y_libLAB6081	SH_SY5Y	SH_SY5Y	0	0	6	6	17	NA	NA	TRUE
SK_N_BE_2	NG-A0611_SKNBE2_libLAB6076	SK_N_BE_2	SK_N_BE_2	0	0	7	7	18	NA	NA	TRUE
