cell_line	degree	mean_edge_sim	max_edge_sim	is_outlier	sample_id	cell_tech_id	cell_line_display
EFM_192C	7	0.5675527298185827	0.6663385898379136	FALSE	NG-29643_EFM_192C_lib581294_7997_4	EFM_192C	EFM_192C
KPL_1	6	0.6096768338321397	0.766939506595472	FALSE	NG-29643_KPL_1_lib581296_7997_4	KPL_1	KPL_1
BT_474	6	0.60708470970899	0.7355463225470679	FALSE	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474
EFM_192A	5	0.5920550048062028	0.6903674155681082	FALSE	NG-29643_EFM_192A_lib581292_7997_4	EFM_192A	EFM_192A
CAL_148	5	0.5906561684257751	0.6828786781964348	FALSE	NG-29643_CAL_148_lib581302_7997_4	CAL_148	CAL_148
HCC_1143	4	0.6554990487834639	0.7438653637350706	FALSE	NG-29643_HCC_1143_lib581306_7997_4	HCC_1143	HCC_1143
MFM_223	4	0.6542022042316661	0.7355463225470679	FALSE	NG-29643_MFM_223_lib581297_7997_4	MFM_223	MFM_223
HCC_1599	4	0.5858923037149927	0.6769047208025412	FALSE	NG-29643_HCC_1599_lib581304_7997_4	HCC_1599	HCC_1599
EFM_192B	4	0.5847055394580345	0.6903674155681082	FALSE	NG-29643_EFM_192B_lib581293_7997_4	EFM_192B	EFM_192B
T_47D	4	0.5613569729675105	0.6663385898379136	FALSE	NG-29643_T_47D_lib581309_8005_3	T_47D	T_47D
SK_BR_3	4	0.5500084789618528	0.6054128138769711	FALSE	NG-29643_SK_BR_3_lib581307_7997_4	SK_BR_3	SK_BR_3
HDQ_P1	3	0.6869149199544369	0.7507648117562263	FALSE	NG-29643_HDQ_P1_lib581303_8005_3	HDQ_P1	HDQ_P1
CAL_85_1	3	0.6663449677830041	0.7507648117562263	FALSE	NG-29643_CAL_85_1_lib581300_7997_4	CAL_85_1	CAL_85_1
MCF_7	3	0.6074957727870101	0.766939506595472	FALSE	NG-29643_MCF_7_lib581315_7997_4	MCF_7	MCF_7
IPH_926	3	0.536050463679412	0.5782897900728649	FALSE	NG-29643_IPH_926_lib581313_7997_4	IPH_926	IPH_926
ETCC_006	2	0.7123035896631196	0.7503250423777605	FALSE	NG-29643_ETCC_006_lib581311_8005_3	ETCC_006	ETCC_006
ETCC_007	2	0.685816655788515	0.7503250423777605	FALSE	NG-29643_ETCC_007_lib581312_7997_4	ETCC_007	ETCC_007
HS_578T	2	0.6477952030738741	0.6742821369484787	FALSE	NG-30919_HS_578T_B_lib628473_10098_2	HS_578T	HS_578T
EFM_19	2	0.5654382715781494	0.5840313310939403	FALSE	NG-29643_EFM_19_lib581291_7997_4	EFM_19	EFM_19
EVSA_T	2	0.5619126473123586	0.5636713726070921	FALSE	NG-29643_EVSA_T_lib581299_7997_4	EVSA_T	EVSA_T
CAL_120	2	0.5539109506618531	0.5539109506618531	FALSE	NG-29643_CAL_120_lib581301_8005_3	CAL_120	CAL_120
COLO_824	2	0.5267529643444367	0.529184538895171	FALSE	NG-29643_COLO_824_lib581290_7997_4	COLO_824	COLO_824
MDA_MB_453	1	0.5636713726070921	0.5636713726070921	FALSE	NG-29643_MDA_MB_453_lib581289_7997_4	MDA_MB_453	MDA_MB_453
JIMT_1	1	0.5539109506618531	0.5539109506618531	FALSE	NG-29643_JIMT_1_B_lib581287_7997_4	JIMT_1	JIMT_1
MDA_MB_231	1	0.5539109506618531	0.5539109506618531	FALSE	NG-29643_MDA_MB_231_lib581314_8005_3	MDA_MB_231	MDA_MB_231
CAL_51	0	NA	NA	TRUE	NG-29643_CAL_51_lib581295_7997_4	CAL_51	CAL_51
DU_4475	0	NA	NA	TRUE	NG-29643_DU_4475_lib581298_7997_4	DU_4475	DU_4475
HCC_1937	0	NA	NA	TRUE	NG-29643_HCC_1937_lib581305_7997_4	HCC_1937	HCC_1937
MDA_MB_468	0	NA	NA	TRUE	NG-30919_MDA_MB_468_B_lib628474_10098_2	MDA_MB_468	MDA_MB_468
