cell_line	sample_id	cell_tech_id	cell_line_display	degree	betweenness	component	community_louv	community_leid	mean_edge_sim	max_edge_sim	is_outlier
KPL_1	NG-29643_KPL_1_lib581296_7997_4	KPL_1	KPL_1	9	9.197619047619046	1	2	1	0.8243131158165136	0.941089108910891	FALSE
BT_474	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	3	0	1	2	10	0.8141850631625813	0.835049504950495	FALSE
EFM_192B	NG-29643_EFM_192B_lib581293_7997_4	EFM_192B	EFM_192B	3	0.6666666666666666	1	3	11	0.7888719512743988	0.8078772825173265	FALSE
EFM_19	NG-29643_EFM_19_lib581291_7997_4	EFM_19	EFM_19	3	0.2	1	1	12	0.7671869275701229	0.7833904267333129	FALSE
ETCC_007	NG-29643_ETCC_007_lib581312_7997_4	ETCC_007	ETCC_007	2	0	2	4	13	0.864	0.8791111111111111	FALSE
HS_578T	NG-30919_HS_578T_B_lib628473_10098_2	HS_578T	HS_578T	2	0	2	4	14	0.8413333333333333	0.8791111111111111	FALSE
ETCC_006	NG-29643_ETCC_006_lib581311_8005_3	ETCC_006	ETCC_006	2	0	2	4	15	0.8262222222222222	0.8488888888888889	FALSE
EFM_192A	NG-29643_EFM_192A_lib581292_7997_4	EFM_192A	EFM_192A	2	0	1	3	16	0.7560152198688046	0.7610706074730849	FALSE
CAL_120	NG-29643_CAL_120_lib581301_8005_3	CAL_120	CAL_120	1	0	3	5	17	0.7582222222222222	0.7582222222222222	FALSE
CAL_51	NG-29643_CAL_51_lib581295_7997_4	CAL_51	CAL_51	1	0	3	5	18	0.7582222222222222	0.7582222222222222	FALSE
MFM_223	NG-29643_MFM_223_lib581297_7997_4	MFM_223	MFM_223	9	9.197619047619046	1	2	2	0.8183222343646285	0.941089108910891	FALSE
SK_BR_3	NG-29643_SK_BR_3_lib581307_7997_4	SK_BR_3	SK_BR_3	7	1.769047619047619	1	1	3	0.804540123620096	0.8494550377340124	FALSE
MCF_7	NG-29643_MCF_7_lib581315_7997_4	MCF_7	MCF_7	7	4.819047619047619	1	1	4	0.8027414076460103	0.8851252865083364	FALSE
T_47D	NG-29643_T_47D_lib581309_8005_3	T_47D	T_47D	7	5.7714285714285705	1	3	5	0.7962690478235768	0.8494550377340124	FALSE
EFM_192C	NG-29643_EFM_192C_lib581294_7997_4	EFM_192C	EFM_192C	7	2.711904761904762	1	1	6	0.7924406034318212	0.8453397859854545	FALSE
CAL_148	NG-29643_CAL_148_lib581302_7997_4	CAL_148	CAL_148	7	13.095238095238095	1	3	7	0.7713336056853088	0.8078772825173265	FALSE
EVSA_T	NG-29643_EVSA_T_lib581299_7997_4	EVSA_T	EVSA_T	6	3.095238095238095	1	1	8	0.8016991096984417	0.8453397859854545	FALSE
MDA_MB_453	NG-29643_MDA_MB_453_lib581289_7997_4	MDA_MB_453	MDA_MB_453	4	0.47619047619047616	1	2	9	0.7866177072118286	0.8279154789250741	FALSE
CAL_85_1	NG-29643_CAL_85_1_lib581300_7997_4	CAL_85_1	CAL_85_1	0	0	4	6	19	NA	NA	TRUE
COLO_824	NG-29643_COLO_824_lib581290_7997_4	COLO_824	COLO_824	0	0	5	7	20	NA	NA	TRUE
DU_4475	NG-29643_DU_4475_lib581298_7997_4	DU_4475	DU_4475	0	0	6	8	21	NA	NA	TRUE
HCC_1143	NG-29643_HCC_1143_lib581306_7997_4	HCC_1143	HCC_1143	0	0	7	9	22	NA	NA	TRUE
HCC_1599	NG-29643_HCC_1599_lib581304_7997_4	HCC_1599	HCC_1599	0	0	8	10	23	NA	NA	TRUE
HCC_1937	NG-29643_HCC_1937_lib581305_7997_4	HCC_1937	HCC_1937	0	0	9	11	24	NA	NA	TRUE
HDQ_P1	NG-29643_HDQ_P1_lib581303_8005_3	HDQ_P1	HDQ_P1	0	0	10	12	25	NA	NA	TRUE
IPH_926	NG-29643_IPH_926_lib581313_7997_4	IPH_926	IPH_926	0	0	11	13	26	NA	NA	TRUE
JIMT_1	NG-29643_JIMT_1_B_lib581287_7997_4	JIMT_1	JIMT_1	0	0	12	14	27	NA	NA	TRUE
MDA_MB_231	NG-29643_MDA_MB_231_lib581314_8005_3	MDA_MB_231	MDA_MB_231	0	0	13	15	28	NA	NA	TRUE
MDA_MB_468	NG-30919_MDA_MB_468_B_lib628474_10098_2	MDA_MB_468	MDA_MB_468	0	0	14	16	29	NA	NA	TRUE
